NIST Control (source),NIST Catalog,NIST Release,Relationship,Equivalence,KSI ID,KSI Name,KSI Family,KSI Family Name
CP-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-RRO,Reviewing Recovery Objectives,RPL,Recovery Planning
CP-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-TRC,Testing Recovery Capabilities,RPL,Recovery Planning
CP-10.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ABO,Aligning Backups with Objectives,RPL,Recovery Planning
CP-10.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
IA-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
IA-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
IA-2.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
IA-2.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
IA-2.8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
IA-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
IA-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SNU,Securing Non-User Authentication,IAM,Identity and Access Management
IA-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
IA-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
IA-4.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-AAM,Automating Account Management,IAM,Identity and Access Management
IA-4.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
IA-4.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
IA-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
IA-5.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
IA-5.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
IA-5.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
IA-5.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SNU,Securing Non-User Authentication,IAM,Identity and Access Management
